Country,latitude,longitude
Saint Kitts and Nevis ," 17° 15 22.24"" "," -62° 42 7.07"" W"
Saint Lucia ," 13° 54 34.29"" "," -60° 58 34.99"" W"
Saint Martin ," 18° 05 9.08"" "," -63° 03 42.69"" W"
Saint Pierre and Miquelon ," 46° 56 48.08"" "," -56° 15 44.23"" W"
Saint Vincent and the Grenadines ," 13° 15 10.14"" "," -61° 11 49.55"" W"
Samoa ," -13° 45 29.92"" "," -172° 06 17.16"" W"
San Marino ," 43° 56 34.36"" "," 12° 27 36.34"" E"
Sao Tome and Principe ," 0° 11 58.90"" "," 6° 36 38.03"" E"
Saudi Arabia ," 24° 16 0.86"" "," 45° 06 28.26"" E"
Senegal ," 14° 30 0.62"" "," -14° 26 21.22"" W"
Serbia ," 44° 12 38.76"" "," 20° 55 20.70"" E"
Seychelles ," -4° 41 1.99"" "," 55° 26 58.12"" E"
Sierra Leone ," 8° 26 58.20"" "," -11° 47 12.58"" W"
Singapore ," 1° 18 52.79"" "," 103° 50 43.47"" E"
Sint Maarten ," 18° 02 4.99"" "," -63° 04 5.20"" W"
Slovakia ," 48° 40 25.51"" "," 19° 41 45.81"" E"
Slovenia ," 46° 08 57.00"" "," 14° 59 9.64"" E"
Solomon Islands ," -9° 13 34.86"" "," 159° 11 14.61"" E"
Somalia ," 5° 09 47.83"" "," 46° 12 13.32"" E"
South Africa ," -28° 28 45.35"" "," 24° 40 21.77"" E"
South Georgia and the South Sandwich Islands ," -54° 25 50.49"" "," -36° 59 12.88"" W"
"Korea, Republic of "," 35° 51 41.44"" "," 127° 05 47.06"" E"
South Sudan ," 7° 51 45.66"" "," 29° 41 41.72"" E"
Spain ," 40° 12 30.60"" "," -3° 42 46.80"" W"
Sri Lanka ," 7° 52 38.72"" "," 80° 42 1.23"" E"
Sudan ," 15° 47 9.85"" "," 30° 11 58.48"" E"
Suriname ," 3° 55 23.86"" "," -56° 01 28.68"" W"
Swaziland ," -26° 31 4.59"" "," 31° 27 46.69"" E"
Sweden ," 62° 11 54.01"" "," 17° 34 1.91"" E"
Switzerland ," 46° 48 47.47"" "," 8° 13 27.16"" E"
Syrian Arab Republic ," 34° 48 53.69"" "," 39° 02 47.23"" E"
"Taiwan, Province of China "," 23° 33 11.22"" "," 121° 01 15.97"" E"
Tajikistan ," 38° 51 29.44"" "," 71° 14 52.74"" E"
"Tanzania, United Republic of "," -6° 22 22.17"" "," 34° 53 32.94"" E"
Thailand ," 13° 02 19.93"" "," 101° 29 24.37"" E"
Timor-Leste ," -8° 47 41.08"" "," 126° 08 12.90"" E"
Togo ," 8° 37 33.34"" "," 0° 49 57.01"" E"
Tokelau ," -9° 10 0.60"" "," -171° 49 5.56"" W"
Tonga ," -21° 14 30.44"" "," -175° 07 42.76"" W"
Trinidad and Tobago ," 10° 26 37.37"" "," -61° 25 8.91"" W"
Tunisia ," 33° 47 35.38"" "," 9° 33 38.76"" E"
Turkey ," 38° 57 26.43"" "," 35° 14 26.67"" E"
Turkmenistan ," 38° 57 49.69"" "," 59° 34 39.36"" E"
Turks and Caicos Islands ," 21° 42 29.48"" "," -71° 58 19.62"" W"
Tuvalu ," -7° 28 42.39"" "," 178° 40 47.72"" E"
Uganda ," 1° 22 14.63"" "," 32° 18 11.67"" E"
Ukraine ," 48° 22 58.88"" "," 31° 10 58.33"" E"
United Arab Emirates ," 24° 21 2.10"" "," 53° 56 22.71"" E"
United Kingdom ," 55° 21 42.34"" "," -3° 26 35.97"" W"
United States ," 37° 36 0.00"" "," -95° 39 54.00"" W"
United States Minor Outlying Islands ," 19° 17 43.35"" "," 166° 37 40.96"" E"
Uruguay ," -32° 33 29.94"" "," -55° 48 42.11"" W"
Uzbekistan ," 41° 22 52.20"" "," 64° 34 24.89"" E"
Vanuatu ," -15° 26 57.41"" "," 167° 35 43.48"" E"
"Venezuela, Bolivarian Republic of "," 5° 09 47.86"" "," -69° 24 52.81"" W"
Vietnam ," 15° 54 11.02"" "," 105° 48 24.09"" E"
"Virgin Islands, British "," 18° 25 5.12"" "," -64° 35 7.55"" W"
"Virgin Islands, U.S. "," 18° 20 36.39"" "," -64° 52 1.79"" W"
Wallis and Futuna ," -14° 18 4.78"" "," -178° 05 27.11"" W"
Western Sahara ," 24° 13 5.92"" "," -12° 53 8.15"" W"
Yemen ," 15° 33 14.06"" "," 48° 10 29.45"" E"
Zambia ," -13° 08 25.26"" "," 27° 50 57.50"" E"
Zimbabwe ," -19° 01 0.92"" "," 29° 09 10.09"" E"
